source_id,url,price_man_yen,layout,area_sqm,year_built,floor_number,floors_total,address,nearest_station,walk_minutes,image_count
20263767,https://suumo.jp/ms/chuko/tokyo/sc_katsushika/nc_20263767/,2780.0,3LDK,57.68,1980,7.0,7.0,東京都葛飾区柴又４ [ ■ 周辺環境 ],柴又駅,7.0,28
20264317,https://suumo.jp/ms/chuko/tokyo/sc_katsushika/nc_20264317/,2880.0,1LDK,55.75,2008,2.0,7.0,東京都葛飾区堀切８ [ ■ 周辺環境 ],綾瀬駅,15.0,28
77633566,https://suumo.jp/ms/chuko/tokyo/sc_katsushika/nc_77633566/,2780.0,2DK,60.23,1988,1.0,5.0,東京都葛飾区細田３ [ ■ 周辺環境 ],京成高砂駅,10.0,23
79014745,https://suumo.jp/ms/chuko/tokyo/sc_katsushika/nc_79014745/,2780.0,2LDK,53.72,1981,2.0,7.0,東京都葛飾区東四つ木１-17-9 [ ■ 周辺環境 ],四ツ木駅,12.0,27
20312408,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_20312408/,2799.0,1LDK,37.89,1991,3.0,5.0,東京都練馬区南田中５ [ ■ 周辺環境 ],練馬高野台駅,6.0,27
78582041,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_78582041/,2780.0,1DK,39.62,1981,10.0,10.0,東京都練馬区桜台４-1-6 [ ■ 周辺環境 ],桜台駅,2.0,25
78818245,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_78818245/,2880.0,3DK,53.36,1992,3.0,5.0,東京都練馬区谷原６ [ ■ 周辺環境 ],石神井公園駅,19.0,28
78958091,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_78958091/,2890.0,1LDK,34.65,1991,4.0,4.0,東京都練馬区貫井２-23-3 [ ■ 周辺環境 ],中村橋駅,8.0,25
79071565,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_79071565/,2799.0,1LDK,37.89,1991,3.0,5.0,東京都練馬区南田中５-3-20 [ ■ 周辺環境 ],練馬高野台駅,6.0,23
20265752,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_20265752/,2680.0,1DK,36.45,1970,4.0,7.0,東京都世田谷区桜３ [ ■ 周辺環境 ],上町駅,15.0,33
