level_0,source_id,url,price_man_yen,area_sqm,year_built,floor_number,floors_total,address,nearest_station,walk_minutes,image_count,rooms_num,base_layout,luxury_bathroom,luxury_bedroom,luxury_kitchen,luxury_living_room,luxury_toilet,brightness_bathroom,brightness_bedroom,brightness_kitchen,brightness_living_room,brightness_toilet,condition_bathroom,condition_bedroom,condition_kitchen,condition_living_room,condition_toilet,latitude,longitude,station_avg_price_man_yen,station_avg_price_per_sqm,station_listing_count,building_period,predicted_price,deal
32,77620806,https://suumo.jp/ms/chuko/tokyo/sc_edogawa/nc_77620806/,2580.0,60.01,1974,4.0,5.0,東京都江戸川区平井３,平井駅,5.0,26,2,LDK,0.5675,0.5,0.54,,,0.7,0.79,0.6833333333333332,,,0.8999999999999999,0.91,0.9066666666666666,,,35.703495,139.84166,9138.25,123.66549676126895,8,pre 1981,2580.0,Standard Price
33,20177669,https://suumo.jp/ms/chuko/tokyo/sc_itabashi/nc_20177669/,2500.0,47.51,1967,4.0,9.0,東京都板橋区上板橋３,上板橋駅,2.0,17,2,LDK,0.55,0.45,0.2666666666666666,,,0.7,0.75,0.69,,,0.9,0.85,0.7833333333333333,,,35.765507,139.673965,4711.428571428572,76.01943458951253,7,pre 1981,2500.0,Standard Price
34,78439456,https://suumo.jp/ms/chuko/tokyo/sc_itabashi/nc_78439456/,2680.0,49.15,1982,2.0,5.0,東京都板橋区蓮根１,蓮根駅,10.0,28,2,LDK,0.35,0.45,0.55,0.63,0.25,0.6333333333333333,0.75,0.7933333333333333,0.77,0.625,0.8233333333333333,0.85,0.89,0.9233333333333332,0.825,35.778767,139.676147,3401.0,61.31960023953216,6,1981 to 2000,3200.0,Good Deal
35,78764378,https://suumo.jp/ms/chuko/tokyo/sc_katsushika/nc_78764378/,2480.0,44.73,1985,5.0,7.0,東京都葛飾区東堀切３-20-7,お花茶屋駅,12.0,24,2,DK,0.55,0.5,0.45,0.55,,0.75,0.8,0.75,0.75,,0.95,0.95,0.8999999999999999,0.95,,35.754704,139.838257,3958.285714285714,63.18956788922458,7,1981 to 2000,2480.0,Standard Price
36,78913409,https://suumo.jp/ms/chuko/tokyo/sc_katsushika/nc_78913409/,2399.0,44.55,1974,4.0,6.0,東京都葛飾区金町１,京成金町駅,9.0,26,1,LDK,0.4166666666666667,,0.585,0.72,,0.6666666666666666,,0.865,0.88,,0.9166666666666666,,0.95,0.95,,35.762589,139.866165,2689.5,46.66774780771512,2,pre 1981,2399.0,Standard Price
38,78293956,https://suumo.jp/ms/chuko/tokyo/sc_minato/nc_78293956/,2580.0,27.44,1977,5.0,7.0,東京都港区芝浦４,田町駅,9.0,22,1,DK,0.15,0.3,0.15,,,0.65,0.7600000000000001,0.55,,,0.55,0.7833333333333333,0.65,,,35.639664,139.747025,18779.01818181818,261.2012111566472,55,pre 1981,2580.0,Standard Price
39,20108833,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_20108833/,2390.0,31.08,1986,3.0,4.0,東京都練馬区北町５-12-23,東武練馬駅,11.0,31,1,LDK,0.45,,0.5166666666666667,,,0.7,,0.7166666666666667,,,0.8999999999999999,,0.9066666666666666,,,35.76593,139.654831,5116.333333333333,83.819629049799,12,1981 to 2000,3156.0,Good Deal
40,77967150,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_77967150/,2450.0,46.6,1974,3.0,7.0,東京都練馬区豊玉北３-15-3,桜台駅,11.0,23,1,LDK,0.53,0.55,0.6000000000000001,0.65,0.55,0.745,0.75,0.8,0.75,0.65,0.9375,0.925,0.95,0.95,0.9,35.732765,139.660461,4741.25,84.4578525661523,8,pre 1981,2450.0,Standard Price
41,78325461,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_78325461/,2580.0,39.92,1975,2.0,14.0,東京都練馬区練馬３-1-8,練馬駅,4.0,25,1,LDK,0.525,0.45,0.6000000000000001,,0.25,0.675,0.85,0.8,,0.75,0.8875,0.95,0.95,,0.85,35.737061,139.650345,6477.272727272727,94.74963922074348,11,pre 1981,3232.0,Good Deal
42,20054735,https://suumo.jp/ms/chuko/tokyo/sc_ota/nc_20054735/,2580.0,35.03,1971,5.0,1.0,東京都大田区北千束３-16-19,大岡山駅,3.0,21,1,K,0.1833333333333333,0.4833333333333334,0.4,0.45,0.15,0.5,0.7666666666666666,0.725,0.75,0.45,0.75,0.8833333333333333,0.85,0.85,0.85,35.60759,139.687225,6185.0,115.24595615988235,2,pre 1981,2538.0,Standard Price
43,20233419,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_20233419/,2499.0,33.44,1984,1.0,5.0,東京都世田谷区鎌田３,二子玉川駅,13.0,23,1,LDK,0.55,0.35,0.55,,0.35,0.65,0.75,0.7,,0.45,0.8999999999999999,0.85,0.9,,0.85,35.620834,139.614746,11672.6,162.03007244699242,20,1981 to 2000,3467.0,Good Deal
44,20293411,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_20293411/,2499.0,33.44,1984,1.0,5.0,東京都世田谷区鎌田３,二子玉川駅,13.0,27,1,LDK,0.65,0.55,0.475,,,0.75,0.75,0.73,,,0.95,0.95,0.8625,,,35.620834,139.614746,11672.6,162.03007244699242,20,1981 to 2000,2499.0,Standard Price
