level_0,source_id,url,price_man_yen,area_sqm,year_built,floor_number,floors_total,address,nearest_station,walk_minutes,image_count,rooms_num,base_layout,luxury_bathroom,luxury_bedroom,luxury_kitchen,luxury_living_room,luxury_toilet,brightness_bathroom,brightness_bedroom,brightness_kitchen,brightness_living_room,brightness_toilet,condition_bathroom,condition_bedroom,condition_kitchen,condition_living_room,condition_toilet,latitude,longitude,station_avg_price_man_yen,station_avg_price_per_sqm,station_listing_count,building_period,predicted_price,deal
450,77678809,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_77678809/,4190.0,41.37,2005,2.0,9.0,東京都世田谷区千歳台４,千歳船橋駅,18.0,28,1,LDK,0.64,0.65,0.5066666666666667,0.55,,0.6833333333333332,0.8,0.81,0.75,,0.94,0.95,0.8833333333333333,0.85,,35.656651,139.613739,6886.75,92.17850913194675,16,post 2000,6103.0,Good Deal
451,78643428,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_78643428/,4200.0,56.05,1980,3.0,3.0,東京都世田谷区上用賀１,用賀駅,13.0,24,2,LDK,0.3,0.3099999999999999,0.45,,0.25,0.735,0.76,0.85,,0.75,0.85,0.898,0.95,,0.85,35.633583,139.635147,9754.05,136.93077987966922,20,pre 1981,4203.0,Good Deal
452,20002013,https://suumo.jp/ms/chuko/tokyo/sc_sumida/nc_20002013/,4190.0,57.64,1973,5.0,10.0,東京都墨田区東向島２,曳舟駅,4.0,15,2,LDK,0.5349999999999999,,0.62,,,0.765,,0.78,,,0.9,,0.92,,,35.718945,139.81662,7233.4,106.69724507892448,5,pre 1981,4195.0,Good Deal
454,79070031,https://suumo.jp/ms/chuko/tokyo/sc_toshima/nc_79070031/,4198.0,30.85,2009,1.0,3.0,東京都豊島区千川２,千川駅,6.0,28,1,LDK,0.6000000000000001,0.45,0.5166666666666667,0.685,0.55,0.735,0.75,0.75,0.765,0.65,0.935,0.925,0.9,0.95,0.92,35.741554,139.692291,5989.428571428572,121.5279736971652,7,post 2000,4883.0,Good Deal
455,20333913,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20333913/,4290.0,61.54,1977,9.0,9.0,東京都足立区綾瀬２,綾瀬駅,4.0,32,3,LDK,0.45,0.45,0.325,,,0.7749999999999999,0.825,0.85,,,0.935,0.95,0.975,,,35.759926,139.828339,4433.666666666667,73.88614154565363,15,pre 1981,4290.0,Standard Price
456,78927356,https://suumo.jp/ms/chuko/tokyo/sc_arakawa/nc_78927356/,4290.0,59.34,1980,4.0,10.0,東京都荒川区南千住２,南千住駅,4.0,25,3,LDK,0.45,0.65,0.635,0.65,0.35,0.65,0.85,0.85,0.8,0.55,0.8999999999999999,0.95,0.935,0.95,0.85,35.730152,139.796661,6760.705882352941,96.29876320104948,17,pre 1981,4570.0,Good Deal
457,78973822,https://suumo.jp/ms/chuko/tokyo/sc_arakawa/nc_78973822/,4280.0,49.18,1980,2.0,11.0,東京都荒川区西日暮里２-39－7,日暮里駅,4.0,16,2,LDK,0.3833333333333333,0.65,0.65,,,0.6633333333333333,0.75,0.75,,,0.85,0.9,0.95,,,35.730888,139.770767,11368.818181818182,180.12956833884073,11,pre 1981,4281.0,Good Deal
458,79156735,https://suumo.jp/ms/chuko/tokyo/sc_bunkyo/nc_79156735/,4280.0,48.14,1978,3.0,1.0,東京都文京区千石１,千石駅,1.0,33,1,LDK,0.72,0.5071428571428571,0.65,0.585,0.55,0.75,0.8014285714285715,0.7833333333333333,0.815,0.7,0.95,0.9271428571428572,0.9499999999999998,0.95,0.95,35.725834,139.743622,11833.75,191.31730000675023,8,pre 1981,5516.0,Good Deal
459,78725525,https://suumo.jp/ms/chuko/tokyo/sc_chuo/nc_78725525/,4280.0,52.58,1979,1.0,9.0,東京都中央区日本橋中洲,水天宮前駅,5.0,22,2,DK,0.2833333333333333,0.25,0.2166666666666666,,0.15,0.6833333333333332,0.675,0.65,,0.4,0.75,0.8,0.75,,0.7,35.683662,139.791168,10006.857142857143,182.538609195694,14,pre 1981,4048.0,Standard Price
461,20282694,https://suumo.jp/ms/chuko/tokyo/sc_edogawa/nc_20282694/,4290.0,61.11,1977,7.0,7.0,東京都江戸川区中葛西５,葛西駅,8.0,27,3,LDK,0.6733333333333333,0.55,0.625,0.6733333333333333,0.25,0.7600000000000001,0.8,0.775,0.81,0.45,0.9499999999999998,0.925,0.95,0.9499999999999998,0.85,35.662621,139.868591,5434.076923076923,73.73353310509903,13,pre 1981,4289.0,Standard Price
462,20354960,https://suumo.jp/ms/chuko/tokyo/sc_itabashi/nc_20354960/,4290.0,47.46,1988,6.0,7.0,東京都板橋区舟渡１,浮間舟渡駅,3.0,27,2,DK,0.425,0.4,0.5833333333333334,,0.35,0.5900000000000001,0.75,0.6833333333333332,,0.55,0.81,0.8999999999999999,0.9166666666666666,,0.85,35.790218,139.688599,5289.777777777777,78.32520090748852,9,1981 to 2000,4290.0,Standard Price
463,79005462,https://suumo.jp/ms/chuko/tokyo/sc_itabashi/nc_79005462/,4290.0,60.76,1998,2.0,6.0,東京都板橋区三園１,西高島平駅,7.0,28,3,LDK,0.5,0.65,0.55,,0.25,0.7000000000000001,0.75,0.78,,0.7,0.8833333333333333,0.95,0.91,,0.85,35.789261,139.640106,4040.0,66.49111257406189,2,1981 to 2000,4191.0,Standard Price
464,79191601,https://suumo.jp/ms/chuko/tokyo/sc_itabashi/nc_79191601/,4280.0,59.21,1981,8.0,8.0,東京都板橋区板橋２-62-8,板橋区役所前駅,1.0,24,2,LDK,0.375,,0.325,0.2333333333333333,,0.6,,0.6875,0.7833333333333333,,0.7749999999999999,,0.7375,0.6666666666666666,,35.750599,139.709961,6347.142857142857,88.76206669467172,7,1981 to 2000,4281.0,Good Deal
465,79233372,https://suumo.jp/ms/chuko/tokyo/sc_itabashi/nc_79233372/,4280.0,49.69,1980,5.0,7.0,東京都板橋区熊野町,大山駅,7.0,27,2,LDK,0.4233333333333333,0.55,0.625,0.685,0.35,0.7600000000000001,0.85,0.825,0.835,0.55,0.9,0.95,0.925,0.95,0.85,35.74279,139.706696,6697.5,101.70646320475464,16,pre 1981,4275.0,Standard Price
467,20319619,https://suumo.jp/ms/chuko/tokyo/sc_katsushika/nc_20319619/,4280.0,61.01,1998,4.0,11.0,東京都葛飾区青戸８,亀有駅,13.0,31,2,LDK,0.61,,0.72,0.65,0.45,0.7749999999999999,,0.78,0.85,0.75,0.95,,0.95,0.95,0.85,35.756935,139.851929,4680.0,70.97393131577682,8,1981 to 2000,4280.0,Standard Price
468,78968518,https://suumo.jp/ms/chuko/tokyo/sc_katsushika/nc_78968518/,4280.0,56.85,1982,3.0,5.0,東京都葛飾区新小岩２,新小岩駅,5.0,26,3,DK,0.45,0.55,0.55,,0.25,0.7333333333333334,0.75,0.7833333333333333,,0.65,0.9066666666666666,0.95,0.9066666666666666,,0.85,35.715977,139.862183,5373.666666666667,79.07795343469024,12,1981 to 2000,4279.0,Standard Price
469,20003332,https://suumo.jp/ms/chuko/tokyo/sc_koto/nc_20003332/,4280.0,60.65,1975,10.0,14.0,東京都江東区南砂２,東陽町駅,9.0,20,2,LDK,0.5833333333333334,0.45,0.65,0.6633333333333333,0.35,0.7666666666666666,0.75,0.7933333333333333,0.77,0.75,0.9333333333333332,0.85,0.94,0.9333333333333332,0.92,35.672863,139.822906,8550.833333333334,115.21378980814994,18,pre 1981,4283.0,Good Deal
470,20237179,https://suumo.jp/ms/chuko/tokyo/sc_koto/nc_20237179/,4280.0,73.83,1981,5.0,14.0,東京都江東区南砂１-25-14,南砂町駅,16.0,27,3,LDK,0.3583333333333333,0.35,0.5,,,0.7283333333333334,0.7799999999999999,0.7,,,0.8450000000000001,0.8833333333333333,0.85,,,35.676182,139.826843,6553.896551724138,95.35239346656198,29,1981 to 2000,4280.0,Standard Price
471,78984126,https://suumo.jp/ms/chuko/tokyo/sc_koto/nc_78984126/,4280.0,79.09,1981,4.0,5.0,東京都江東区南砂１,東陽町駅,14.0,27,3,LDK,0.4833333333333333,,0.5750000000000001,0.75,0.25,0.6966666666666667,,0.775,0.78,0.55,0.9066666666666666,,0.9125,0.95,0.85,35.678825,139.822235,8550.833333333334,115.21378980814994,18,1981 to 2000,6959.0,Good Deal
472,20335146,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_20335146/,4280.0,61.61,1982,2.0,7.0,東京都練馬区関町南４,武蔵関駅,11.0,34,2,LDK,0.685,0.5857142857142856,0.6733333333333333,0.6966666666666667,0.35,0.815,0.8285714285714285,0.85,0.86,0.75,0.95,0.95,0.9499999999999998,0.9499999999999998,0.9,35.720901,139.572891,5268.285714285715,70.46096350271796,7,1981 to 2000,4279.0,Standard Price
473,78229686,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_78229686/,4280.0,64.22,2008,1.0,7.0,東京都練馬区東大泉２,大泉学園駅,14.0,22,2,LDK,0.4,0.41,0.618,0.5,,0.65,0.726,0.76,0.765,,0.8,0.874,0.918,0.875,,35.752708,139.595154,5003.428571428572,80.0440528883389,14,post 2000,4280.0,Standard Price
474,79098261,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_79098261/,4280.0,54.59,1996,2.0,6.0,東京都練馬区北町８,地下鉄赤塚駅,7.0,22,2,LDK,0.45,0.55,0.5,0.45,,0.5875,0.75,0.65,0.8,,0.85,0.95,0.8999999999999999,0.8999999999999999,,35.76635,139.649796,4280.0,78.40263784575929,1,1981 to 2000,4278.0,Standard Price
475,20021125,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_20021125/,4280.0,56.7,1972,5.0,7.0,東京都世田谷区奥沢１-3-12,石川台駅,10.0,22,2,DK,0.45,0.6000000000000001,0.475,,,0.75,0.885,0.725,,,0.9,0.9,0.875,,,35.599579,139.679428,6494.8,88.4900036913769,10,pre 1981,4281.0,Good Deal
476,20147397,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_20147397/,4280.0,45.75,1976,2.0,7.0,東京都世田谷区若林２,若林駅,7.0,27,1,LDK,0.4,0.35,0.5833333333333334,0.65,0.45,0.75,0.75,0.7666666666666666,0.85,0.75,0.885,0.85,0.9499999999999998,0.95,0.85,35.648426,139.662659,8280.0,124.40355827743213,6,pre 1981,4284.0,Good Deal
477,20309341,https://suumo.jp/ms/chuko/tokyo/sc_shibuya/nc_20309341/,4280.0,40.24,1972,9.0,1.0,東京都渋谷区本町１-7-16,初台駅,3.0,31,1,LDK,0.35,0.2833333333333333,0.475,0.55,0.15,0.635,0.75,0.7875,0.88,0.55,0.8,0.8833333333333333,0.8999999999999999,0.95,0.75,35.680511,139.684387,7588.4,143.1851161636445,10,pre 1981,3705.0,Standard Price
478,79202565,https://suumo.jp/ms/chuko/tokyo/sc_shibuya/nc_79202565/,4280.0,40.24,1972,9.0,1.0,東京都渋谷区本町１,初台駅,3.0,32,1,LDK,0.475,0.45,0.51,0.625,0.15,0.7,0.835,0.776,0.865,0.55,0.875,0.8999999999999999,0.884,0.9425,0.75,35.680992,139.683182,7588.4,143.1851161636445,10,pre 1981,3840.0,Standard Price
479,20349112,https://suumo.jp/ms/chuko/tokyo/sc_shinagawa/nc_20349112/,4280.0,43.31,1975,6.0,10.0,東京都品川区南大井６,大森駅,1.0,29,2,LDK,0.5750000000000001,0.5499999999999999,0.7025,,0.55,0.7424999999999999,0.7566666666666667,0.775,,0.65,0.9425,0.9166666666666666,0.95,,0.92,35.590488,139.7314,10453.333333333334,138.45380628364106,21,pre 1981,4286.0,Good Deal
480,78898079,https://suumo.jp/ms/chuko/tokyo/sc_shinagawa/nc_78898079/,4280.0,40.85,1970,3.0,7.0,東京都品川区旗の台５,旗の台駅,2.0,32,2,LDK,0.5333333333333333,0.45,0.5375,0.635,0.55,0.6666666666666666,0.75,0.74375,0.81,0.7,0.9066666666666666,0.85,0.88,0.8999999999999999,0.85,35.603298,139.701096,4280.0,104.7735618115055,1,pre 1981,4284.0,Good Deal
483,20353949,https://suumo.jp/ms/chuko/tokyo/sc_taito/nc_20353949/,4280.0,33.29,1992,6.0,9.0,東京都台東区松が谷３-11-10,入谷駅,8.0,33,1,DK,0.6966666666666667,0.525,0.6,,0.45,0.8066666666666666,0.8,0.775,,0.65,0.9333333333333332,0.8999999999999999,0.925,,0.85,35.716671,139.786621,6699.238095238095,116.94308275161104,21,1981 to 2000,4280.0,Standard Price
484,20319393,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20319393/,4290.0,61.43,1987,6.0,8.0,東京都足立区綾瀬６,綾瀬駅,12.0,25,3,LDK,0.68,0.5499999999999999,0.48,,0.25,0.75,0.8366666666666666,0.755,,0.4,0.95,0.9499999999999998,0.85,,0.65,35.770931,139.826065,4433.666666666667,73.88614154565363,15,1981 to 2000,3461.0,Standard Price
485,20340904,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20340904/,4380.0,57.0,1985,7.0,8.0,東京都足立区東和５,北綾瀬駅,9.0,29,2,LDK,0.4,0.6000000000000001,0.35,,0.2,0.75,0.8999999999999999,0.65,,0.5,0.85,0.95,0.7849999999999999,,0.75,35.775234,139.838226,3534.230769230769,58.6523266911045,13,1981 to 2000,4380.0,Standard Price
487,79035237,https://suumo.jp/ms/chuko/tokyo/sc_arakawa/nc_79035237/,4290.0,59.34,1980,4.0,10.0,東京都荒川区南千住２,南千住駅,4.0,33,3,LDK,0.55,0.525,0.644,0.6000000000000001,0.25,0.7066666666666667,0.775,0.82,0.765,0.65,0.93,0.925,0.95,0.935,0.75,35.730152,139.796661,6760.705882352941,96.29876320104948,17,pre 1981,4312.0,Good Deal
488,20087203,https://suumo.jp/ms/chuko/tokyo/sc_bunkyo/nc_20087203/,4299.0,33.55,1985,3.0,1.0,東京都文京区音羽１,護国寺駅,3.0,33,1,DK,0.3999999999999999,0.6000000000000001,0.45,,,0.6666666666666666,0.75,0.735,,,0.8416666666666667,0.8999999999999999,0.85,,,35.713921,139.730209,9068.09090909091,138.4589418624689,11,1981 to 2000,4333.0,Good Deal
489,20335539,https://suumo.jp/ms/chuko/tokyo/sc_edogawa/nc_20335539/,4380.0,67.89,2013,4.0,5.0,東京都江戸川区松江７,一之江駅,14.0,25,3,LDK,0.585,0.45,0.65,,,0.735,0.7833333333333333,0.85,,,0.935,0.9166666666666666,0.95,,,35.690399,139.874115,4966.5,72.30108021465108,4,post 2000,4380.0,Standard Price
490,20105713,https://suumo.jp/ms/chuko/tokyo/sc_itabashi/nc_20105713/,4350.0,53.78,1984,6.0,6.0,東京都板橋区西台４,東武練馬駅,10.0,28,2,LDK,0.685,0.7,0.64,0.72,0.55,0.765,0.8,0.7600000000000001,0.86,0.45,0.95,0.95,0.94,0.95,0.95,35.769958,139.667862,5116.333333333333,83.819629049799,12,1981 to 2000,4350.0,Standard Price
491,20275637,https://suumo.jp/ms/chuko/tokyo/sc_itabashi/nc_20275637/,4411.0,41.32,1997,4.0,1.0,東京都板橋区大山町,大山駅,1.0,21,1,LDK,0.4166666666666667,0.2166666666666666,0.5357142857142857,,0.35,0.6833333333333332,0.7000000000000001,0.75,,0.45,0.8833333333333333,0.85,0.9385714285714286,,0.85,35.748611,139.699738,6697.5,101.70646320475464,16,1981 to 2000,5003.0,Good Deal
492,20286764,https://suumo.jp/ms/chuko/tokyo/sc_itabashi/nc_20286764/,4480.0,61.35,1995,1.0,5.0,東京都板橋区宮本町,板橋本町駅,4.0,22,3,LDK,0.65,0.55,0.6000000000000001,0.45,0.175,0.75,0.76,0.735,0.78,0.575,0.95,0.928,0.935,0.92,0.525,35.764019,139.700592,5916.666666666667,99.47982282443162,3,1981 to 2000,4480.0,Standard Price
493,78484620,https://suumo.jp/ms/chuko/tokyo/sc_itabashi/nc_78484620/,4299.0,55.67,1991,1.0,8.0,東京都板橋区小豆沢３-10-10,志村坂上駅,6.0,21,2,LDK,0.425,0.25,0.55,,0.25,0.725,0.825,0.725,,0.7,0.8425,0.9125,0.925,,0.85,35.779175,139.692062,4101.8,71.19300449785328,5,1981 to 2000,4298.0,Standard Price
494,20255548,https://suumo.jp/ms/chuko/tokyo/sc_katsushika/nc_20255548/,4299.0,72.08,2003,10.0,12.0,東京都葛飾区奥戸７,青砥駅,17.0,15,3,LDK,0.55,0.55,0.65,,,0.75,0.85,0.765,,,0.95,0.9,0.935,,,35.737019,139.862366,5302.571428571428,78.24535407998705,7,post 2000,4754.0,Good Deal
495,78621601,https://suumo.jp/ms/chuko/tokyo/sc_katsushika/nc_78621601/,4299.0,72.08,2003,10.0,12.0,東京都葛飾区奥戸７,青砥駅,17.0,26,3,LDK,0.55,,0.6066666666666667,,0.65,0.65,,0.7933333333333333,,0.85,0.95,,0.94,,0.95,35.737019,139.862366,5302.571428571428,78.24535407998705,7,post 2000,4299.0,Standard Price
496,78121315,https://suumo.jp/ms/chuko/tokyo/sc_koto/nc_78121315/,4299.0,59.52,1980,4.0,9.0,東京都江東区南砂２,南砂町駅,5.0,24,3,LDK,0.5499999999999999,0.5,0.685,0.65,,0.6833333333333332,0.8,0.8,0.85,,0.8833333333333333,0.875,0.95,0.95,,35.672863,139.822906,6553.896551724138,95.35239346656198,29,pre 1981,4301.0,Good Deal
497,78274851,https://suumo.jp/ms/chuko/tokyo/sc_koto/nc_78274851/,4399.0,66.85,1986,9.0,13.0,東京都江東区東砂８,南砂町駅,12.0,22,3,LDK,0.35,,0.7200000000000001,0.72,0.3,0.75,,0.8133333333333334,0.88,0.6000000000000001,0.85,,0.9499999999999998,0.95,0.75,35.667763,139.842133,6553.896551724138,95.35239346656198,29,1981 to 2000,5252.0,Good Deal
498,78311854,https://suumo.jp/ms/chuko/tokyo/sc_koto/nc_78311854/,4299.0,59.52,1980,4.0,9.0,東京都江東区南砂２,南砂町駅,5.0,33,3,LDK,0.64,0.618,0.66,0.6733333333333333,,0.7766666666666667,0.79,0.8075,0.86,,0.9499999999999998,0.94,0.95,0.9499999999999998,,35.672863,139.822906,6553.896551724138,95.35239346656198,29,pre 1981,4301.0,Good Deal
499,79168419,https://suumo.jp/ms/chuko/tokyo/sc_koto/nc_79168419/,4298.0,60.81,1996,4.0,11.0,東京都江東区東砂３,東大島駅,16.0,29,2,LDK,0.6425000000000001,0.55,0.685,0.55,0.5,0.825,0.85,0.735,0.815,0.8,0.95,0.95,0.95,0.935,0.935,35.679897,139.843948,5139.692307692308,73.4434578880966,13,1981 to 2000,4298.0,Standard Price
500,20051566,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_20051566/,4298.0,72.0,1980,4.0,10.0,東京都練馬区関町南４,武蔵関駅,15.0,22,3,LDK,0.64,0.45,0.6966666666666667,0.55,,0.7933333333333333,0.7949999999999999,0.7166666666666667,0.78,,0.9499999999999998,0.93,0.94,0.92,,35.720901,139.572891,5268.285714285715,70.46096350271796,7,pre 1981,5724.0,Good Deal
503,78721633,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_78721633/,4380.0,54.76,1998,2.0,6.0,東京都練馬区高野台１,練馬高野台駅,7.0,21,2,LDK,0.55,0.25,0.5750000000000001,,0.25,0.725,0.75,0.725,,0.75,0.875,0.9,0.925,,0.9,35.742447,139.617279,5037.533333333334,84.19921665690465,15,1981 to 2000,4955.0,Good Deal
504,20041233,https://suumo.jp/ms/chuko/tokyo/sc_ota/nc_20041233/,4299.0,72.95,1979,3.0,5.0,東京都大田区中馬込１,長原駅,10.0,27,3,LDK,0.65,0.4666666666666666,0.5,0.63,0.45,0.75,0.7683333333333334,0.725,0.7833333333333333,0.55,0.95,0.8783333333333333,0.8925,0.9499999999999998,0.85,35.596699,139.705292,5642.2307692307695,87.35407971468611,13,pre 1981,5569.0,Good Deal
505,20088718,https://suumo.jp/ms/chuko/tokyo/sc_ota/nc_20088718/,4299.0,46.36,1980,6.0,6.0,東京都大田区南馬込１,馬込駅,5.0,23,1,LDK,0.4,0.72,0.54,0.65,,0.65,0.82,0.7266666666666667,0.865,,0.8999999999999999,0.95,0.8833333333333333,0.95,,35.591808,139.713867,5821.384615384615,99.7144025992266,13,pre 1981,4336.0,Good Deal
506,20141006,https://suumo.jp/ms/chuko/tokyo/sc_ota/nc_20141006/,4299.0,46.36,1980,6.0,6.0,東京都大田区南馬込１,馬込駅,5.0,25,1,LDK,0.45,0.5,0.6175,,,0.72,0.7849999999999999,0.7675,,,0.92,0.885,0.9125,,,35.591808,139.713867,5821.384615384615,99.7144025992266,13,pre 1981,4349.0,Good Deal
507,79014230,https://suumo.jp/ms/chuko/tokyo/sc_shinagawa/nc_79014230/,4380.0,34.31,1978,6.0,7.0,東京都品川区上大崎２,目黒駅,1.0,23,1,LDK,0.45,0.45,0.44,,0.2,0.55,0.675,0.73,,0.65,0.85,0.85,0.86,,0.75,35.636364,139.715668,14174.825,206.5191786547694,40,pre 1981,4380.0,Standard Price
510,20324362,https://suumo.jp/ms/chuko/tokyo/sc_suginami/nc_20324362/,4298.0,32.5,1997,3.0,7.0,東京都杉並区成田東５-35-12,南阿佐ケ谷駅,3.0,33,1,DK,0.4875,0.685,0.5,,,0.725,0.75,0.7416666666666667,,,0.875,0.95,0.925,,,35.700283,139.633209,10120.727272727272,151.56278005847113,11,1981 to 2000,4298.0,Standard Price
511,20228968,https://suumo.jp/ms/chuko/tokyo/sc_toshima/nc_20228968/,4299.0,63.18,1974,7.0,10.0,東京都豊島区池袋本町３,下板橋駅,4.0,33,3,LDK,0.635,0.5942857142857143,0.602,0.25,0.45,0.7,0.7928571428571428,0.742,0.75,0.4,0.95,0.9142857142857144,0.892,0.7,0.85,35.743591,139.712067,4545.833333333333,76.23480543758562,6,pre 1981,4052.0,Standard Price
512,20353932,https://suumo.jp/ms/chuko/tokyo/sc_toshima/nc_20353932/,4299.0,63.18,1974,7.0,10.0,東京都豊島区池袋本町３-31-14,下板橋駅,4.0,31,3,LDK,0.65,0.5333333333333333,0.6166666666666667,,,0.75,0.7566666666666667,0.75,,,0.95,0.9233333333333332,0.94,,,35.745834,139.711243,4545.833333333333,76.23480543758562,6,pre 1981,4302.0,Good Deal
513,20157241,https://suumo.jp/ms/chuko/tokyo/sc_adachi/nc_20157241/,4480.0,70.42,2011,5.0,13.0,東京都足立区西保木間１,竹ノ塚駅,15.0,28,3,LDK,0.65,0.625,0.65,0.72,,0.735,0.795,0.75,0.88,,0.95,0.9375,0.95,0.95,,35.796497,139.799957,3328.6666666666665,46.85845710685653,9,post 2000,4480.0,Standard Price
515,78529163,https://suumo.jp/ms/chuko/tokyo/sc_edogawa/nc_78529163/,4490.0,71.58,1984,8.0,9.0,東京都江戸川区西小岩１-8-7,小岩駅,7.0,26,3,LDK,0.66,0.45,0.6000000000000001,,,0.8075,0.85,0.7849999999999999,,,0.9375,0.95,0.935,,,35.732594,139.876541,7545.833333333333,98.47904105228098,12,1981 to 2000,4490.0,Standard Price
516,79135985,https://suumo.jp/ms/chuko/tokyo/sc_edogawa/nc_79135985/,4490.0,70.1,1996,3.0,4.0,東京都江戸川区篠崎町４,篠崎駅,14.0,27,3,LDK,0.45,,0.45,,,0.7333333333333334,,0.75,,,0.8833333333333333,,0.925,,,35.69965,139.910278,4623.0,66.11458321402436,3,1981 to 2000,4660.0,Good Deal
517,79193695,https://suumo.jp/ms/chuko/tokyo/sc_edogawa/nc_79193695/,4480.0,68.45,1986,1.0,13.0,東京都江戸川区西葛西３,西葛西駅,5.0,24,3,LDK,0.2833333333333333,0.325,0.25,,0.2,0.6833333333333332,0.7625,0.65,,0.65,0.85,0.8625,0.75,,0.85,35.667416,139.857666,5285.037037037037,74.24205232289357,27,1981 to 2000,4480.0,Standard Price
518,20254153,https://suumo.jp/ms/chuko/tokyo/sc_itabashi/nc_20254153/,4480.0,51.1,1997,1.0,8.0,東京都板橋区板橋２-46-16,板橋区役所前駅,7.0,31,2,LDK,0.43,0.25,0.475,,0.25,0.6799999999999999,0.75,0.775,,0.75,0.8099999999999999,0.95,0.95,,0.9,35.749069,139.713135,6347.142857142857,88.76206669467172,7,1981 to 2000,5318.0,Good Deal
519,78827451,https://suumo.jp/ms/chuko/tokyo/sc_itabashi/nc_78827451/,4480.0,57.2,1984,6.0,10.0,東京都板橋区上板橋２,上板橋駅,10.0,21,2,LDK,0.4,0.45,0.525,,0.25,0.6,0.8066666666666666,0.725,,0.65,0.85,0.8833333333333333,0.885,,0.85,35.763676,139.672745,4711.428571428572,76.01943458951253,7,1981 to 2000,4480.0,Standard Price
521,20165707,https://suumo.jp/ms/chuko/tokyo/sc_katsushika/nc_20165707/,4480.0,66.0,1982,11.0,11.0,東京都葛飾区奥戸２,京成立石駅,8.0,23,3,LDK,0.65,0.4833333333333334,0.5166666666666667,,0.45,0.7,0.7733333333333334,0.7733333333333333,,0.7,0.925,0.9166666666666666,0.9333333333333332,,0.95,35.734848,139.857819,4193.8,65.80263045088577,5,1981 to 2000,4480.0,Standard Price
522,79026273,https://suumo.jp/ms/chuko/tokyo/sc_kita/nc_79026273/,4480.0,30.0,2019,15.0,15.0,東京都北区滝野川６,板橋駅,5.0,21,1,DK,0.6675,,0.55,,,0.675,,0.7,,,0.925,,0.85,,,35.745178,139.724289,8614.5,138.93282657392112,8,post 2000,8787.0,Good Deal
523,79059337,https://suumo.jp/ms/chuko/tokyo/sc_koto/nc_79059337/,4490.0,35.58,2005,4.0,1.0,東京都江東区平野２,清澄白河駅,7.0,22,1,K,0.4166666666666667,0.4166666666666667,0.5,0.55,,0.69,0.75,0.725,0.75,,0.85,0.85,0.875,0.9,,35.677608,139.802582,12046.1875,163.65198068110948,16,post 2000,4908.0,Good Deal
525,20140453,https://suumo.jp/ms/chuko/tokyo/sc_minato/nc_20140453/,4480.0,36.61,1982,4.0,11.0,東京都港区芝４,田町駅,5.0,34,1,LDK,0.2833333333333333,0.5,0.55,0.45,0.55,0.5166666666666667,0.75,0.8,0.765,0.65,0.8166666666666668,0.925,0.944,0.91,0.9,35.648289,139.750854,18779.01818181818,261.2012111566472,55,1981 to 2000,5945.0,Good Deal
526,78577339,https://suumo.jp/ms/chuko/tokyo/sc_minato/nc_78577339/,4480.0,36.61,1982,4.0,1.0,東京都港区芝４,三田駅,3.0,22,1,DK,0.3833333333333333,,0.65,0.68,,0.4833333333333333,,0.8,0.78,,0.85,,0.9,0.95,,35.648289,139.750854,15956.666666666666,267.00328632951584,6,1981 to 2000,4497.0,Good Deal
528,78800772,https://suumo.jp/ms/chuko/tokyo/sc_nakano/nc_78800772/,4480.0,53.84,1968,9.0,12.0,東京都中野区東中野３-16-18,落合駅,2.0,27,2,LDK,0.15,0.3833333333333333,0.35,,0.25,0.65,0.7833333333333333,0.75,,0.75,0.8,0.89,0.85,,0.85,35.709633,139.681854,4880.0,96.73228007636472,3,pre 1981,3771.0,Standard Price
530,78561492,https://suumo.jp/ms/chuko/tokyo/sc_nerima/nc_78561492/,4480.0,62.7,1996,4.0,6.0,東京都練馬区高野台４-10-2,練馬高野台駅,10.0,27,3,LDK,0.55,0.5,0.5750000000000001,0.6000000000000001,0.55,0.735,0.775,0.7825,0.815,0.75,0.8999999999999999,0.95,0.935,0.935,0.9,35.746716,139.617615,5037.533333333334,84.19921665690465,15,1981 to 2000,4492.0,Good Deal
532,20345281,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_20345281/,4480.0,58.84,1977,2.0,8.0,東京都世田谷区粕谷２,八幡山駅,10.0,28,2,LDK,0.4925,0.65,0.6733333333333333,0.65,0.25,0.7625,0.75,0.86,0.85,0.65,0.8875,0.9,0.94,0.95,0.85,35.664726,139.610809,7575.857142857143,110.63081409297878,14,pre 1981,4471.0,Standard Price
